freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 	2025 
A,NETTUR,G,CA,I10,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	82.0 i	80.0 i	80.9 i	82.5 i	85.8 i	88.4 i	91.7 i	94.7 i	98.9 i	93.3 i	99.9 i	104.9 i	105.2 i	102.8 i	101.4 i	100.4 i	101.0 i	106.9 i	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	61.7 ip	65.2 ip	69.4 ip	74.7 ip	81.9 ip	87.5 ip	94.7 ip	101.3 ip	99.8 ip	89.0 ip	100.0 ip	109.4 ip	111.6 ip	112.5 ip	114.0 ip	114.9 ip	115.0 ip	122.0 ip	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.5 	34.6 	41.5 	46.6 	54.6 	66.5 	79.0 	92.2 	110.8 	95.7 	99.5 	110.5 	117.0 	120.8 	122.8 	129.9 	127.8 	134.1 p	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.9 i	65.8 i	69.8 i	72.0 i	78.8 i	82.2 i	89.5 i	100.4 i	109.1 i	97.1 i	100.0 i	100.5 i	95.3 i	86.2 i	85.6 i	85.0 i	87.2 i	93.1 ip	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.6 ip	69.8 ip	68.9 ip	73.5 ip	82.5 ip	87.8 ip	94.2 ip	102.6 ip	105.8 ip	94.8 ip	100.0 ip	105.4 ip	106.3 ip	107.5 ip	111.4 ip	115.2 ip	115.1 ip	123.0 ip	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,DE	: 	: 	: 	84.8 ip	86.3 ip	85.4 ip	86.6 ip	87.0 ip	86.9 ip	90.6 ip	90.4 ip	87.6 ip	87.7 ip	90.4 ip	95.0 ip	100.0 ip	100.4 ip	104.9 ip	93.7 ip	99.6 ip	106.1 ip	107.5 ip	107.5 ip	108.1 ip	109.0 ip	109.8 ip	116.4 ip	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	74.2 ip	76.8 ip	79.7 ip	79.7 ip	85.5 ip	95.4 ip	103.7 ip	108.5 ip	108.5 ip	90.9 ip	99.9 ip	115.1 ip	116.7 ip	113.1 ip	107.0 ip	108.9 ip	110.9 ip	116.3 ip	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,EA19	: 	: 	: 	: 	: 	: 	: 	: 	77.0 i	81.4 i	84.2 i	84.5 i	86.5 i	90.3 i	94.8 i	100.1 i	103.3 i	106.2 i	95.3 	100.0 	104.8 	104.9 	104.6 	105.4 	106.5 	107.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,EE	: 	: 	: 	: 	: 	: 	: 	35.4 i	34.6 i	41.7 i	50.5 i	56.9 i	60.4 i	69.4 i	87.6 i	102.1 i	128.4 i	122.5 i	94.3 i	100.0 i	115.8 i	127.1 i	146.4 i	145.0 i	140.2 i	145.0 i	156.1 i	: 	: 	: 	: 	: 	: 	: 	: 
A,NETTUR,G,CA,I10,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	66.2 i	72.4 i	78.0 i	83.4 i	91.5 i	97.3 i	106.8 i	116.2 i	122.1 i	109.4 ip	100.0 i	87.5 i	76.1 i	68.4 ip	69.1 i	67.2 i	66.5 i	68.7 ip	: 	: 	: 	: 	: 	: 	: 	: 
